geo_id,sale_date,acutal_sale_price,sale_value,essence,sale_percentage,city,construction_year,square_meters,n_rooms,se
006497-0404-000-00,23/07/2017,"3,100,000","3,100,000",cottage townhouse,1,kiryat ono,2013,122,5,1.121351172
006497-0419-000-00,11/05/2017,"3,330,000","3,330,000",cottage townhouse,0.5,kiryat ono,1970,132,6,6.152367727
006891-0007-006-00,06/05/2019,"3,950,000","3,950,000",cottage townhouse,1,kiryat ono,1996,218,5,6.74617119
006891-0018-001-00,30/01/2019,"4,200,000","4,200,000",cottage townhouse,1,kiryat ono,1993,231,7,10.22271235
007184-0015-000-00,13/05/2019,"4,508,000","4,508,000",cottage townhouse,0.5,kiryat ono,0,0,0,1.47082505
007184-0015-000-00,13/05/2019,"1,992,000","1,992,000",cottage townhouse,1,kiryat ono,2007,323,6,4.60624086
007184-0058-000-00,31/10/2017,"5,500,000","5,500,000",cottage townhouse,0.5,kiryat ono,2006,160,5,0.500363557
007184-0116-000-00,01/08/2018,"392,750","392,750",cottage townhouse,0.125,kiryat ono,2002,304,7,0.861589858
007184-0116-000-00,01/08/2018,"785,500","785,500",cottage townhouse,0.25,kiryat ono,2001,310,6,0.167677064
006491-0102-007-00,27/08/2017,"875,000","875,000",vacation apartment,1,kiryat ono,1967,70,3,1.825178869
006370-0045-003-00,25/07/2019,"2,415,000","2,415,000",garden apratment,0.5,kiryat ono,2013,212,6,3.138973963
006370-0048-001-00,03/11/2017,"3,750,000","3,750,000",garden apratment,1,kiryat ono,2015,117,6,8.438402622
006370-0050-002-00,26/10/2017,"3,500,000","3,500,000",garden apratment,1,kiryat ono,2006,113,5,4.466775338
006490-0536-041-00,28/01/2019,"2,000,000","2,000,000",garden apratment,0.72,kiryat ono,2005,123,4,0.061453941
006490-0540-021-00,01/06/2017,"3,025,000","3,025,000",garden apratment,1,kiryat ono,2006,110,4,6.616073504
006491-0080-001-00,02/08/2019,"1,410,000","1,410,000",garden apratment,0.5,kiryat ono,2005,102,5,0.544572391
006494-0436-001-00,23/05/2017,"270,000","270,000",garden apratment,0.122,kiryat ono,0,0,0,0.268876907
006495-0431-001-00,15/05/2019,"1,950,000","1,950,000",garden apratment,1,kiryat ono,1950,171,4,1.137111687
006495-0540-003-00,09/01/2019,"1,400,000","1,400,000",garden apratment,0.5,kiryat ono,0,0,0,1.035513237
006495-0558-002-00,28/05/2019,"1,325,000","1,325,000",garden apratment,1,kiryat ono,1940,24,1,3.039887438
007185-0206-002-00,03/07/2017,"4,443,000","4,443,000",garden apratment,0.96,kiryat ono,2012,151,4.5,0.421837802
006493-0338-026-00,11/11/2018,"5,000,000","5,000,000",roof apartment,1,kiryat ono,2015,174,6,9.44428536
006494-0379-041-00,01/06/2017,"3,400,000","3,400,000",roof apartment,1,kiryat ono,2000,132,5,6.14544669
006494-0464-019-00,28/06/2018,"3,100,000","3,100,000",roof apartment,1,kiryat ono,2009,184,5,0.72830199
006178-0172-000-00,03/01/2018,"1,918,000","1,918,000",building apartment,1,kiryat ono,2021,80,3,1.90297147
006178-0172-000-00,04/01/2018,"2,374,000","2,374,000",building apartment,1,kiryat ono,2021,102,4,2.193370929
006178-0172-000-00,07/01/2018,"3,194,000","3,194,000",building apartment,1,kiryat ono,2021,133,5,3.676092185
006178-0172-000-00,18/01/2018,"1,748,000","1,748,000",building apartment,1,kiryat ono,2021,75,3,2.484664177
006178-0172-000-00,18/01/2018,"1,827,000","1,827,000",building apartment,1,kiryat ono,2021,75,3,2.355555078
006178-0172-000-00,08/02/2018,"1,788,000","1,788,000",building apartment,1,kiryat ono,2018,75,3,0.134158663
006178-0172-000-00,13/03/2018,"1,933,376","1,933,376",building apartment,1,kiryat ono,2018,80,3,0.558406356
006178-0172-000-00,19/03/2018,"3,307,164","3,307,164",building apartment,1,kiryat ono,2018,133,5,0.618740367
006178-0172-000-00,19/03/2018,"2,949,200","2,949,200",building apartment,1,kiryat ono,2018,123,5,5.234965314
006178-0172-001-01,31/01/2018,"1,836,000","1,836,000",building apartment,1,kiryat ono,2018,80,3,3.169540042
006178-0172-001-02,24/01/2018,"1,709,000","1,709,000",building apartment,1,kiryat ono,2018,75,3,2.978392112
006178-0172-001-04,12/03/2018,"1,854,360","1,854,360",building apartment,1,kiryat ono,2018,80,3,1.674306871
006178-0172-001-06,07/03/2018,"1,979,600","1,979,600",building apartment,1,kiryat ono,2018,79,3,2.013885337
006178-0172-001-07,13/02/2018,"1,941,089","1,941,089",building apartment,1,kiryat ono,2018,80,3,3.468847192
006178-0172-001-08,21/01/2018,"1,729,000","1,729,000",building apartment,1,kiryat ono,2021,75,3,2.342392322
006178-0172-001-09,24/01/2018,"1,729,000","1,729,000",building apartment,1,kiryat ono,2021,75,3,1.072016577
006178-0172-001-10,22/02/2018,"1,912,463","1,912,463",building apartment,1,kiryat ono,2018,80,3,1.78272472
006178-0172-001-13,26/01/2018,"1,888,295","1,888,295",building apartment,1,kiryat ono,2018,80,3,0.509990324
006178-0172-001-15,14/01/2018,"1,748,000","1,748,000",building apartment,1,kiryat ono,2018,75,3,3.508494904
006178-0172-001-18,07/02/2018,"1,867,851","1,867,851",building apartment,1,kiryat ono,2018,79,3,2.542844642
006178-0172-001-19,21/01/2018,"1,935,198","1,935,198",building apartment,1,kiryat ono,2018,80,3,4.011360667
006178-0172-001-20,21/01/2018,"1,768,000","1,768,000",building apartment,1,kiryat ono,2018,75,3,2.915723953
006178-0172-001-22,25/02/2018,"1,940,000","1,940,000",building apartment,1,kiryat ono,2018,80,3,1.644959793
006178-0172-001-24,11/01/2018,"1,884,960","1,884,960",building apartment,1,kiryat ono,2021,79,3,4.500967259
006178-0172-001-25,30/01/2018,"1,878,000","1,878,000",building apartment,1,kiryat ono,2018,80,3,0.160057276
006178-0172-001-27,06/02/2018,"1,841,261","1,841,261",building apartment,1,kiryat ono,2018,75,3,3.465651225
006178-0172-001-28,18/01/2018,"1,878,000","1,878,000",building apartment,1,kiryat ono,2018,80,3,4.676282728
006178-0172-001-29,26/02/2020,"2,170,000","2,170,000",building apartment,1,kiryat ono,2021,79,3,3.2662568
006178-0172-001-30,04/01/2018,"1,868,000","1,868,000",building apartment,1,kiryat ono,2021,79,3,4.142507174
006178-0172-001-31,14/01/2018,"1,898,000","1,898,000",building apartment,1,kiryat ono,2018,80,3,2.727784089
006178-0172-001-33,16/02/2020,"2,125,000","2,125,000",building apartment,1,kiryat ono,2021,75,3,3.389683672
006178-0172-001-34,02/01/2018,"1,975,000","1,975,000",building apartment,1,kiryat ono,2019,80,3,3.385574759
006178-0172-001-35,08/02/2018,"1,964,205","1,964,205",building apartment,1,kiryat ono,2018,79,3,3.454384639
006178-0172-001-37,11/01/2018,"1,918,000","1,918,000",building apartment,1,kiryat ono,2018,80,3,4.344273461
006178-0172-001-39,18/02/2018,"1,979,600","1,979,600",building apartment,1,kiryat ono,2018,75,3,0.514506471
006178-0172-001-43,13/02/2018,"2,780,000","2,780,000",building apartment,1,kiryat ono,2018,123,5,4.268973556
006178-0172-001-44,03/01/2018,"2,780,000","2,780,000",building apartment,1,kiryat ono,2021,123,5,6.608151274
006178-0172-001-47,07/01/2018,"2,697,000","2,697,000",building apartment,1,kiryat ono,2021,123,5,5.478461373
006178-0172-001-48,15/02/2018,"2,765,000","2,765,000",building apartment,1,kiryat ono,2018,123,5,1.40119227
006178-0172-001-49,03/01/2018,"2,297,000","2,297,000",building apartment,1,kiryat ono,2021,102,4,3.888949367
006178-0172-001-51,15/02/2018,"2,784,308","2,784,308",building apartment,1,kiryat ono,2018,123,5,7.14403149
006178-0172-001-54,08/02/2018,"2,388,000","2,388,000",building apartment,1,kiryat ono,2018,102,4,5.25314128
006178-0172-001-55,06/02/2018,"2,803,539","2,803,539",building apartment,1,kiryat ono,2018,123,5,0.547450797
006178-0172-001-56,08/02/2018,"2,360,983","2,360,983",building apartment,1,kiryat ono,2018,123,5,2.202018942
006178-0172-001-57,18/03/2018,"2,469,450","2,469,450",building apartment,1,kiryat ono,2018,102,4,1.166734723
006178-0172-001-58,02/01/2018,"2,335,000","2,335,000",building apartment,1,kiryat ono,2021,102,4,1.039408916
006178-0172-001-59,06/02/2018,"2,823,263","2,823,263",building apartment,1,kiryat ono,2018,123,5,4.650571302
006178-0172-001-61,27/02/2018,"2,004,865","2,004,865",building apartment,1,kiryat ono,2018,79,3,1.811232329
006178-0172-001-61,07/03/2018,"2,479,650","2,479,650",building apartment,1,kiryat ono,2018,102,4,4.007017531
006178-0172-001-63,28/02/2018,"2,872,204","2,872,204",building apartment,1,kiryat ono,2018,123,5,6.22794656
006178-0172-001-64,14/02/2018,"2,801,740","2,801,740",building apartment,1,kiryat ono,2018,123,5,5.976016292
006178-0172-001-65,03/01/2018,"2,361,000","2,361,000",building apartment,1,kiryat ono,2021,102,4,2.866647637
006178-0172-001-79,06/02/2018,"2,923,200","2,923,200",building apartment,1,kiryat ono,2018,123,5,1.416820729
006178-0172-001-80,03/01/2018,"2,851,000","2,851,000",building apartment,1,kiryat ono,2021,123,5,3.298482026
006178-0172-001-82,03/01/2018,"2,451,000","2,451,000",building apartment,1,kiryat ono,2021,102,4,3.02498472
006178-0172-001-85,21/02/2018,"2,632,060","2,632,060",building apartment,1,kiryat ono,2018,108,4,5.618479421
006178-0172-001-89,13/02/2018,"2,630,000","2,630,000",building apartment,1,kiryat ono,2018,108,4,1.680210263
006178-0172-032-01,18/02/2018,"1,879,435","1,879,435",building apartment,1,kiryat ono,2018,75,3,0.020577605
006178-0172-036-01,27/02/2018,"1,983,839","1,983,839",building apartment,1,kiryat ono,2018,79,3,3.472824867
006178-0172-046-00,14/01/2018,"2,361,000","2,361,000",building apartment,1,kiryat ono,2021,102,4,3.671450576
006178-0172-050-00,03/01/2018,"2,297,000","2,297,000",building apartment,1,kiryat ono,2021,102,4,0.377121127
006178-0172-087-00,02/01/2018,"3,218,000","3,218,000",building apartment,1,kiryat ono,2021,133,5,5.262713548
006178-0172-088-00,02/01/2018,"3,218,000","3,218,000",building apartment,1,kiryat ono,2021,133,5,3.973307587
006178-0172-108-00,08/03/2018,"3,391,114","3,391,114",building apartment,1,kiryat ono,2018,133,5,1.892538765
006178-0172-111-01,22/02/2018,"3,410,597","3,410,597",building apartment,1,kiryat ono,2018,133,5,5.588539653
006178-0172-112-00,22/03/2018,"3,430,597","3,430,597",building apartment,1,kiryat ono,2018,133,5,7.267108413
006178-0172-120-00,22/02/2018,"3,412,000","3,412,000",building apartment,1,kiryat ono,2018,133,5,4.911592103
006178-0172-124-00,12/03/2018,"4,355,000","4,355,000",building apartment,1,kiryat ono,2018,150,5,8.098494367
006178-0172-125-00,29/03/2018,"1,959,400","1,959,400",building apartment,1,kiryat ono,2018,79,3,1.872561828
006178-0172-125-01,29/03/2018,"5,200,000","5,200,000",building apartment,1,kiryat ono,2018,162,5,2.870308228
006178-0172-129-00,17/01/2018,"5,550,000","5,550,000",building apartment,1,kiryat ono,2021,164,6,14.12890667
006178-0283-000-00,16/04/2018,"2,632,060","2,632,060",building apartment,1,kiryat ono,2018,108,4,3.867802454
006178-0283-000-00,29/04/2018,"2,509,788","2,509,788",building apartment,1,kiryat ono,2018,102,4,1.22520302
006178-0283-000-00,27/07/2018,"2,029,910","2,029,910",building apartment,1,kiryat ono,2018,80,3,0.685078292
006178-0283-000-00,29/07/2018,"1,955,000","1,955,000",building apartment,1,kiryat ono,2018,79,3,2.667734571
006178-0283-000-00,06/08/2018,"2,067,632","2,067,632",building apartment,1,kiryat ono,2018,80,3,2.253411696
006178-0283-000-00,05/09/2018,"2,545,000","2,545,000",building apartment,1,kiryat ono,2018,102,4,5.478506161
006178-0283-000-00,09/10/2018,"2,048,000","2,048,000",building apartment,1,kiryat ono,2018,80,3,0.611646789
006178-0283-000-00,30/01/2019,"3,630,000","3,630,000",building apartment,1,kiryat ono,2018,133,5,6.063499783
006178-0283-000-00,03/02/2019,"2,620,000","2,620,000",building apartment,1,kiryat ono,2018,102,4,5.828329454
006178-0283-000-00,26/02/2019,"2,060,000","2,060,000",building apartment,1,kiryat ono,2018,80,3,3.915244126
006178-0283-000-00,13/03/2019,"2,060,000","2,060,000",building apartment,1,kiryat ono,2018,79,3,2.132722141
006178-0283-000-00,07/07/2019,"2,650,000","2,650,000",building apartment,1,kiryat ono,2018,102,4,1.125644067
006178-0283-000-00,14/07/2019,"3,570,000","3,570,000",building apartment,1,kiryat ono,2018,133,5,0.577869037
006178-0283-000-00,15/09/2019,"2,070,000","2,070,000",building apartment,1,kiryat ono,2018,75,3,2.780101379
006178-0283-000-00,27/11/2019,"5,380,000","5,380,000",building apartment,1,kiryat ono,2018,164,5,9.961693657
006178-0283-000-00,28/11/2019,"2,570,000","2,570,000",building apartment,1,kiryat ono,2018,102,4,2.078098679
006178-0283-000-00,05/12/2019,"3,555,000","3,555,000",building apartment,1,kiryat ono,2018,120,5,2.264442841
006178-0283-000-00,15/12/2019,"2,162,700","2,162,700",building apartment,1,kiryat ono,2018,79,3,0.779323803
006178-0283-000-00,15/12/2019,"2,939,000","2,939,000",building apartment,1,kiryat ono,2018,123,5,2.641724323
006178-0283-000-00,16/12/2019,"2,185,000","2,185,000",building apartment,1,kiryat ono,2018,79,3,3.94347144
006178-0283-000-00,26/12/2019,"3,020,000","3,020,000",building apartment,1,kiryat ono,2018,123,5,6.27181927
006178-0283-000-00,30/12/2019,"2,170,000","2,170,000",building apartment,1,kiryat ono,2018,79,3,3.843232941
006178-0283-000-00,30/12/2019,"2,850,000","2,850,000",building apartment,1,kiryat ono,2018,108,4,3.889636313
006178-0283-000-00,04/02/2020,"2,118,000","2,118,000",building apartment,1,kiryat ono,2018,79,3,0.590737514
006178-0283-001-23,10/05/2018,"2,000,000","2,000,000",building apartment,1,kiryat ono,2018,79,3,4.622288829
006178-0283-001-53,24/04/2018,"2,462,400","2,462,400",building apartment,1,kiryat ono,2018,102,4,3.510680191
006178-0283-001-60,06/02/2020,"2,990,000","2,990,000",building apartment,1,kiryat ono,2018,123,5,0.967657529
006178-0283-001-90,09/08/2018,"2,775,000","2,775,000",building apartment,1,kiryat ono,2018,108,4,0.570736718
006178-0283-001-90,09/08/2018,"2,775,000","2,775,000",building apartment,1,kiryat ono,2018,108,4,3.905133098
006178-0283-002-02,17/01/2019,"1,995,000","1,995,000",building apartment,1,kiryat ono,2018,80,3,2.981861975
006178-0283-002-04,13/11/2018,"1,890,000","1,890,000",building apartment,1,kiryat ono,2018,75,3,1.568995944
006178-0283-002-07,13/01/2020,"2,155,000","2,155,000",building apartment,1,kiryat ono,2018,79,3,3.41953158
006178-0283-002-08,28/02/2019,"2,030,000","2,030,000",building apartment,1,kiryat ono,2018,80,3,3.432417742
006178-0283-002-10,13/11/2018,"1,906,000","1,906,000",building apartment,1,kiryat ono,2018,75,3,2.647465563
006178-0283-002-12,29/11/2018,"2,008,320","2,008,320",building apartment,1,kiryat ono,2018,79,3,2.522786988
006178-0283-002-13,24/07/2018,"1,999,000","1,999,000",building apartment,1,kiryat ono,2018,79,3,2.457153667
006178-0283-002-17,26/02/2019,"2,038,000","2,038,000",building apartment,1,kiryat ono,2018,80,3,0.017565953
006178-0283-002-18,13/08/2019,"2,138,000","2,138,000",building apartment,1,kiryat ono,2018,79,3,2.374207193
006178-0283-002-19,01/05/2019,"2,040,000","2,040,000",building apartment,1,kiryat ono,2018,79,3,4.763930278
006178-0283-002-26,29/11/2018,"2,074,000","2,074,000",building apartment,1,kiryat ono,2018,80,3,4.579654527
006178-0283-002-27,15/01/2020,"2,112,700","2,112,700",building apartment,1,kiryat ono,2018,75,3,3.714269193
006178-0283-002-35,27/06/2018,"2,088,135","2,088,135",building apartment,1,kiryat ono,2018,80,3,2.094184103
006178-0283-002-37,18/11/2019,"2,180,000","2,180,000",building apartment,1,kiryat ono,2018,79,3,0.489599071
006178-0283-002-39,25/09/2019,"3,150,000","3,150,000",building apartment,1,kiryat ono,2018,123,5,3.794391252
006178-0283-002-41,27/06/2018,"2,543,098","2,543,098",building apartment,1,kiryat ono,2018,102,4,3.820552077
006178-0283-002-43,24/07/2018,"2,871,694","2,871,694",building apartment,1,kiryat ono,2018,128,5,7.036109073
006178-0283-002-46,09/01/2020,"2,962,000","2,962,000",building apartment,1,kiryat ono,2018,123,5,6.28617602
006178-0283-002-46,09/01/2020,"2,962,000","2,962,000",building apartment,1,kiryat ono,2018,123,5,3.074625497
006178-0283-002-47,17/07/2019,"2,900,000","2,900,000",building apartment,1,kiryat ono,2018,123,5,3.965997292
006178-0283-002-48,29/11/2018,"2,494,500","2,494,500",building apartment,1,kiryat ono,2018,102,4,1.060596221
006178-0283-002-49,20/12/2018,"2,494,500","2,494,500",building apartment,1,kiryat ono,2018,102,4,5.425430066
006178-0283-002-51,29/08/2019,"3,018,000","3,018,000",building apartment,1,kiryat ono,2018,123,5,0.029529232
006178-0283-002-53,18/08/2019,"2,485,000","2,485,000",building apartment,1,kiryat ono,2018,102,4,3.354972362
006178-0283-002-55,09/02/2020,"3,000,000","3,000,000",building apartment,1,kiryat ono,2018,123,5,2.984422701
006178-0283-002-59,05/12/2019,"3,000,000","3,000,000",building apartment,1,kiryat ono,2018,123,5,2.808626663
006178-0283-002-61,25/09/2019,"2,540,000","2,540,000",building apartment,1,kiryat ono,2018,102,4,5.599482801
006178-0283-002-63,11/12/2019,"3,045,000","3,045,000",building apartment,1,kiryat ono,2018,123,5,1.928332925
006178-0283-002-64,02/10/2019,"2,560,000","2,560,000",building apartment,1,kiryat ono,2018,102,4,6.092197444
006178-0283-002-65,26/01/2020,"2,635,000","2,635,000",building apartment,1,kiryat ono,2018,102,4,3.274433483
006178-0283-002-67,30/09/2018,"2,984,106","2,984,106",building apartment,1,kiryat ono,2018,123,5,4.264038021
006178-0283-002-69,31/10/2019,"2,580,000","2,580,000",building apartment,1,kiryat ono,2018,102,4,1.631289226
006178-0283-002-74,24/07/2019,"3,080,000","3,080,000",building apartment,1,kiryat ono,2018,123,5,6.920885919
006178-0283-002-78,23/02/2020,"3,473,000","3,473,000",building apartment,1,kiryat ono,2018,133,5,3.822001079
006178-0283-002-80,05/08/2018,"2,700,000","2,700,000",building apartment,1,kiryat ono,2018,108,4,5.104998856
006178-0283-002-98,20/01/2020,"2,860,000","2,860,000",building apartment,1,kiryat ono,2018,108,4,0.290337002
006178-0283-005-00,31/07/2019,"2,075,000","2,075,000",building apartment,1,kiryat ono,2018,80,3,0.823980128
006178-0283-008-44,16/10/2018,"2,450,000","2,450,000",building apartment,1,kiryat ono,2018,102,4,1.728834974
006178-0283-011-00,18/04/2019,"2,055,000","2,055,000",building apartment,1,kiryat ono,2018,80,11,3.314955175
006178-0283-014-00,13/03/2019,"2,060,000","2,060,000",building apartment,1,kiryat ono,2018,80,3,2.48178655
006178-0283-031-00,25/06/2019,"2,088,500","2,088,500",building apartment,1,kiryat ono,2018,79,3,3.755135167
006178-0283-032-00,14/03/2019,"2,105,000","2,105,000",building apartment,1,kiryat ono,2018,80,3,3.67023883
006178-0283-038-00,18/07/2019,"3,080,000","3,080,000",building apartment,1,kiryat ono,2018,123,5,6.37222972
006178-0283-052-00,30/07/2019,"2,495,000","2,495,000",building apartment,1,kiryat ono,2018,102,4,3.268712521
006178-0283-056-00,04/07/2018,"2,500,000","2,500,000",building apartment,1,kiryat ono,2018,102,4,1.189539392
006178-0283-057-00,05/09/2019,"2,515,000","2,515,000",building apartment,1,kiryat ono,2018,102,4,3.522377631
006178-0283-060-00,29/08/2019,"2,540,000","2,540,000",building apartment,1,kiryat ono,2018,102,4,1.650796685
006178-0283-062-00,21/02/2019,"2,520,000","2,520,000",building apartment,1,kiryat ono,2018,102,4,4.114933991
006178-0283-081-00,31/07/2019,"2,800,000","2,800,000",building apartment,1,kiryat ono,2018,108,4,4.283775613
006178-0283-084-00,24/02/2019,"2,760,000","2,760,000",building apartment,1,kiryat ono,2018,108,4,6.672717016
006178-0283-127-00,22/01/2019,"5,840,000","5,840,000",building apartment,1,kiryat ono,2019,164,6,2.560018393
006178-0285-021-00,12/03/2018,"1,802,639","1,802,639",building apartment,1,kiryat ono,2018,75,3,3.885329307
006370-0034-005-00,04/07/2019,"2,350,000","2,350,000",building apartment,1,kiryat ono,2013,124,4,1.3377065
006370-0034-025-00,20/08/2019,"2,440,000","2,440,000",building apartment,1,kiryat ono,2012,125,4,3.613446882
006370-0034-029-00,28/06/2017,"2,330,000","2,330,000",building apartment,1,kiryat ono,2009,124,4,1.889501013
006370-0034-040-00,31/01/2018,"2,900,000","2,900,000",building apartment,1,kiryat ono,2012,141,5,2.790225518
006370-0034-043-00,29/08/2017,"2,095,000","2,095,000",building apartment,1,kiryat ono,2011,80,3,1.896223911
006370-0034-086-00,21/11/2019,"2,577,500","2,577,500",building apartment,1,kiryat ono,2012,124,4,4.299044432
006370-0034-087-00,05/03/2018,"2,100,000","2,100,000",building apartment,1,kiryat ono,2012,124,4,4.017819855
006370-0035-000-00,06/02/2019,"1,260,000","1,260,000",building apartment,0.5,kiryat ono,2014,110,4,1.533533037
006370-0035-000-00,14/03/2019,"2,820,000","2,820,000",building apartment,1,kiryat ono,2015,126,5,2.677833935
006370-0035-000-00,29/03/2019,"3,000,000","3,000,000",building apartment,1,kiryat ono,2015,124,5,3.440302084
006370-0035-000-00,26/12/2019,"4,000,000","4,000,000",building apartment,1,kiryat ono,2015,144,5,1.332606865
006370-0035-000-00,30/12/2019,"4,015,000","4,015,000",building apartment,1,kiryat ono,2015,144,5,9.274662994
006370-0035-003-00,14/09/2017,"3,460,000","3,460,000",building apartment,1,kiryat ono,2017,124,5,6.361306902
006370-0035-004-00,31/12/2018,"2,700,000","2,700,000",building apartment,1,kiryat ono,2015,123,5,2.644285185
006370-0035-006-00,31/12/2018,"2,700,000","2,700,000",building apartment,1,kiryat ono,2015,124,5,1.3844244
006370-0035-007-00,29/08/2017,"2,400,000","2,400,000",building apartment,1,kiryat ono,2017,107,4,2.271868322
006370-0035-008-00,23/10/2018,"2,740,000","2,740,000",building apartment,1,kiryat ono,2015,125,5,1.292045637
006370-0035-009-00,19/10/2017,"2,655,000","2,655,000",building apartment,1,kiryat ono,2017,125,4,1.634493894
